img_path,class,latitude,longitude
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/b99a0ed6-3af2-4d43-815f-490d8b4509cf.jpg,0,40.15477,-86.01738
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/dcbc9604-5a37-466c-96d7-48fcbfff0a37.jpg,0,32.81909,-97.25708
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/9a1d0cf6-e11e-4e57-a61c-b0ef30f07c6a.jpg,0,40.29399,-74.72644
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/e4b098c2-36e1-4be7-9b64-411688ccfed5.jpg,0,39.32201,-82.10418
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/2341a61a-e8ef-4720-b51e-f84cca6c9716.jpg,0,40.66631,-73.96745
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/5c416ac9-ffbd-4201-b7f6-c082ef8bd68c.jpg,0,40.74472,-86.32953
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/2a5f9ba9-c310-4743-affa-9beb75980daa.jpg,0,30.49795,-97.62817
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/8ebd0542-17f0-4b00-9a49-4f0d9c25c615.jpg,0,42.46766,-76.45576
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/28251862-8e86-40d5-8a28-6e3c8eedf8e4.jpg,0,40.10311,-88.22523
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/d97031a0-eb83-40f4-bcd4-70490e078f0f.jpg,0,38.91122,-77.20974
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/5075901d-64d8-4eb9-88e7-ca7a2a0aeec2.jpg,0,41.65745,-81.4109
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/1f2e276c-a55a-4cb5-899a-ef96e8e77f2c.jpg,0,30.23683,-97.7057
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/11bbec1d-f2c3-4b41-bcd1-ce3cc2183023.jpg,0,43.78103,-79.46986
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/16f186bb-6e0d-41a7-acf0-e3d3312a97b3.jpg,0,34.9698,-80.86507
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/678995cd-2cf8-4530-94d0-a6aa9e4b7805.jpg,0,26.62144,-80.19804
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/e5836e96-9968-42a3-962f-3e35c1030ca5.jpg,0,35.12726,-83.10692
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/df8162df-0668-4603-92ef-3d817651b30b.jpg,0,39.14797,-86.22006
train_mini/00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris/b6883a62-d605-4e1f-857a-6b20c40e594d.jpg,0,39.03981,-78.16
